epoch,fit/loss,fit/pred_loss,fit/sigreg_loss,hardware/cpu_percent,hardware/disk_read_mb_s,hardware/disk_write_mb_s,hardware/net_recv_mb_s,hardware/net_sent_mb_s,hardware/ram_used_gb,hardware/ram_used_pct,hparams/lr_default_0,step,validate/loss_step,validate/pred_loss_step,validate/sigreg_loss_step,validate/loss_epoch,validate/pred_loss_epoch,validate/sigreg_loss_epoch
,,,,,,,,,,,,0,1.1244001388549805,0.0970564261078834,11.40625,,,
,,,,,,,,,,,,0,0.2561824917793274,0.0215633381158113,2.609375,,,
,,,,,,,,,,,,1,0.255928486585617,0.0222859065979719,2.59375,,,
,,,,,,,,,,,,1,1.043241024017334,0.1018348410725593,10.453125,,,
,,,,,,,,,,,,2,1.068073272705078,0.1022529974579811,10.734375,,,
,,,,,,,,,,,,2,0.255935788154602,0.0222932267934083,2.59765625,,,
,,,,,,,,,,,,3,0.2540652751922607,0.0196902696043252,2.6015625,,,
,,,,,,,,,,,,3,1.0968297719955444,0.0958532094955444,11.109375,,,
,,,,,,,,,,,,4,1.0038166046142578,0.0995197892189025,10.046875,,,
,,,,,,,,,,,,4,0.2509499788284302,0.0212136358022689,2.55078125,,,
,,,,,,,,,,,,5,0.2475125938653946,0.0214383751153945,2.515625,,,
,,,,,,,,,,,,5,1.0014560222625732,0.0971591547131538,10.046875,,,
,,,,,,,,,,,,6,1.1340996026992798,0.1008965075016021,11.484375,,,
,,,,,,,,,,,,6,0.2559091746807098,0.0227548945695161,2.58984375,,,
,,,,,,,,,,,,7,0.2647067904472351,0.0217868667095899,2.703125,,,
,,,,,,,,,,,,7,1.057969331741333,0.0989850014448165,10.65625,,,
,,,,,,,,,,,,8,1.1281685829162598,0.1027779802680015,11.390625,,,
,,,,,,,,,,,,8,0.2625888586044311,0.0230869092047214,2.66015625,,,
,,,,,,,,,,,,9,0.2570299208164215,0.0211900752037763,2.625,,,
,,,,,,,,,,,,9,1.0120867490768433,0.0960711315274238,10.1875,,,
,,,,,,,,,,,,10,1.1050454378128052,0.0991861000657081,11.15625,,,
,,,,,,,,,,,,10,0.2599314451217651,0.0226267557591199,2.640625,,,
,,,,,,,,,,,,11,0.2548352181911468,0.024122329428792,2.5625,,,
,,,,,,,,,,,,11,1.0660666227340698,0.0982930958271026,10.75,,,
,,,,,,,,,,,,12,0.2503232657909393,0.0205869525671005,2.55078125,,,
,,,,,,,,,,,,12,1.02017343044281,0.0953687727451324,10.28125,,,
,,,,,,,,,,,,13,1.0157439708709717,0.096798688173294,10.21875,,,
,,,,,,,,,,,,13,0.2580981254577636,0.0217700097709894,2.62890625,,,
,,,,,,,,,,,,14,0.2615039348602295,0.0224902480840683,2.65625,,,
,,,,,,,,,,,,14,0.9622188210487366,0.0989375784993171,9.59375,,,
,,,,,,,,,,,,15,1.0454658269882202,0.1050361469388008,10.453125,,,
,,,,,,,,,,,,15,0.2677052319049835,0.0233204867690801,2.7109375,,,
,,,,,,,,,,,,16,0.2600036263465881,0.0212340857833623,2.65625,,,
,,,,,,,,,,,,16,1.0071943998336792,0.0980147570371627,10.109375,,,
,,,,,,,,,,,,17,1.0505132675170898,0.096411719918251,10.59375,,,
,,,,,,,,,,,,17,0.2603302896022796,0.0218049008399248,2.6484375,,,
,,,,,,,,,,,,18,0.2511846423149109,0.0214482992887496,2.5546875,,,
,,,,,,,,,,,,18,1.0767979621887207,0.0963292270898819,10.890625,,,
,,,,,,,,,,,,19,0.990403413772583,0.0929424464702606,9.96875,,,
,,,,,,,,,,,,19,0.247381180524826,0.020330412313342,2.5234375,,,
,,,,,,,,,,,,20,0.261625736951828,0.0211472138762474,2.66796875,,,
,,,,,,,,,,,,20,1.0212446451187134,0.0983931049704551,10.25,,,
,,,,,,,,,,,,21,1.041616439819336,0.1002101227641105,10.453125,,,
,,,,,,,,,,,,21,0.2643599212169647,0.0221724268049001,2.6953125,,,
,,,,,,,,,,,,22,1.0544559955596924,0.1003544256091117,10.59375,,,
,,,,,,,,,,,,22,0.2741627693176269,0.0219655092805624,2.80078125,,,
,,,,,,,,,,,,23,0.2530443072319031,0.0220872610807418,2.56640625,,,
,,,,,,,,,,,,23,1.0442776679992676,0.0989652499556541,10.5,,,
,,,,,,,,,,,,24,1.040552258491516,0.1001225188374519,10.453125,,,
,,,,,,,,,,,,24,0.2584465146064758,0.0218742303550243,2.62890625,,,
,,,,,,,,,,,,25,0.2646680474281311,0.021503996104002,2.703125,,,
,,,,,,,,,,,,25,1.0456793308258057,0.0993902534246444,10.515625,,,
,,,,,,,,,,,,26,0.2648259103298187,0.0219059754163026,2.69921875,,,
,,,,,,,,,,,,26,1.1442387104034424,0.0983402207493782,11.625,,,
,,,,,,,,,,,,27,1.1115621328353882,0.0998433828353881,11.234375,,,
,,,,,,,,,,,,27,0.2776623666286468,0.0218029823154211,2.83984375,,,
,,,,,,,,,,,,28,0.266571044921875,0.0214538797736167,2.72265625,,,
,,,,,,,,,,,,28,1.157949924468994,0.1013093441724777,11.75,,,
,,,,,,,,,,,,29,1.0385671854019165,0.0961843430995941,10.46875,,,
,,,,,,,,,,,,29,0.2467139959335327,0.0203956384211778,2.515625,,,
,,,,,,,,,,,,30,0.2566728889942169,0.0222978871315717,2.60546875,,,
,,,,,,,,,,,,30,1.0565775632858276,0.1005227863788604,10.625,,,
,,,,,,,,,,,,31,0.2549341320991516,0.0220239926129579,2.5859375,,,
,,,,,,,,,,,,31,0.9941747188568116,0.0996434688568115,9.9375,,,
,,,,,,,,,,,,32,0.2617587149143219,0.0212802086025476,2.67578125,,,
,,,,,,,,,,,,32,1.048250675201416,0.0980553030967712,10.5625,,,
,,,,,,,,,,,,33,0.2519354820251465,0.0214667357504367,2.55859375,,,
,,,,,,,,,,,,33,1.0665606260299685,0.0997637957334518,10.75,,,
,,,,,,,,,,,,34,1.0444581508636477,0.1001221537590026,10.484375,,,
,,,,,,,,,,,,34,0.2647261023521423,0.0225386153906583,2.6953125,,,
,,,,,,,,,,,,35,0.2607400715351105,0.0214822590351104,2.66015625,,,
,,,,,,,,,,,,35,1.093883752822876,0.1016962230205535,11.03125,,,
,,,,,,,,,,,,36,0.257293164730072,0.0209650304168462,2.625,,,
,,,,,,,,,,,,36,1.0705877542495728,0.0998846814036369,10.796875,,,
,,,,,,,,,,,,37,0.2508241832256317,0.0225527137517929,2.5390625,,,
,,,,,,,,,,,,37,1.0464973449707031,0.0972786620259285,10.546875,,,
,,,,,,,,,,,,38,0.2638505101203918,0.0223954450339078,2.68359375,,,
,,,,,,,,,,,,38,1.0148601531982422,0.1007977873086929,10.140625,,,
,,,,,,,,,,,,39,0.2544881999492645,0.022798765450716,2.57421875,,,
,,,,,,,,,,,,39,1.0511819124221802,0.1009866148233413,10.5625,,,
,,,,,,,,,,,,40,1.0246343612670898,0.1008062213659286,10.265625,,,
,,,,,,,,,,,,40,0.2541631460189819,0.0229619946330785,2.5703125,,,
,,,,,,,,,,,,41,0.2556814551353454,0.0232595801353454,2.58203125,,,
,,,,,,,,,,,,41,1.0563666820526123,0.0983588770031929,10.65625,,,
,,,,,,,,,,,,42,1.028269648551941,0.1005352661013603,10.3125,,,
,,,,,,,,,,,,42,0.2725498080253601,0.0227939374744892,2.7734375,,,
,,,,,,,,,,,,43,0.2609521150588989,0.0214501656591892,2.66015625,,,
,,,,,,,,,,,,43,1.0947872400283811,0.0996701046824455,11.046875,,,
,,,,,,,,,,,,44,1.0239166021347046,0.0971587970852851,10.296875,,,
,,,,,,,,,,,,44,0.2546164393424988,0.0214621312916278,2.58984375,,,
,,,,,,,,,,,,45,0.2476622760295868,0.0220763459801673,2.5078125,,,
,,,,,,,,,,,,45,1.0372705459594729,0.0997704863548278,10.421875,,,
,,,,,,,,,,,,46,0.240671694278717,0.0214334167540073,2.4375,,,
,,,,,,,,,,,,46,1.169912576675415,0.0996000543236732,11.921875,,,
,,,,,,,,,,,,47,1.1399297714233398,0.0989141464233398,11.546875,,,
,,,,,,,,,,,,47,0.2606691420078277,0.0209230501204729,2.66796875,,,
,,,,,,,,,,,,48,1.0156104564666748,0.1025244742631912,10.140625,,,
,,,,,,,,,,,,48,0.2598472535610199,0.0215660035610198,2.6484375,,,
,,,,,,,,,,,,49,0.2670552432537079,0.021693916991353,2.7265625,,,
,,,,,,,,,,,,49,1.0418882369995115,0.0985289439558982,10.484375,,,
